x,y
671.6181428133605,239.96169169475942
663.735284657452,241.13477002251528
669.0366246703784,247.81629065338413
677.9263664684219,247.73378646275842
659.5046893317702,248.1295427901524
330.1305914139896,247.8531972380666
456.7398720682307,248.61663113006398
425.8812044224884,246.33733239237824
686.7083663235695,247.1132224861441
729.4891416752841,248.00379179593241
677.6092648539708,20.607922121517287
357.94432936302377,247.15225271879854
316.1744058500918,241.9670932358318
312.8351435221105,247.96314972847168
327.85227693446984,236.18326545723804
321.04676018704055,236.3794255177021
324.84523364485915,242.68000000000004
339.62618690654676,233.49175412293852
334.7326080732893,240.51417119954192
344.2647058823525,240.2834486735871
339.152331849074,227.436606515116
332.9102185469586,231.01417601890134
487.14783607813064,231.62236690923018
496.1291821561338,247.2721189591078
487.17235695785234,240.43772074405462
487.1870467616902,247.99974993748438
496.41797101449293,237.91845410628014
440.35324788181475,145.3419509015859
443.2672860846977,148.25496974935177
441.5466167070763,141.3105576372052
437.1049785567774,149.45310460563115
440.9905618964002,152.11852502194913
113.40974268316637,247.56472205853467
95.49639393185772,247.75503606068142
103.982648802987,247.66417746540742
108.10182926829273,239.6689024390244
88.0756501182033,247.92671394799052
444.478522681655,220.65796868727418
421.03863263872233,190.9227347225474
409.83286364621614,201.3730760893128
414.5833567613162,201.18189485521503
414.0165904858628,195.55171830032162
400.90918616835535,247.84526720223548
433.6067344345625,247.59783989834816
441.23290692545055,248.64931627701807
433.17281385281416,232.45956709956712
433.9115299711321,239.7201562234675
444.6658002227985,226.65948756034166
434.4164075993092,225.3594127806563
479.9764885496184,224.1361832061069
695.3225260783767,247.96419509444598
689.2139917695497,223.30589849108367
575.1321851934678,107.12234399463208
563.7305426356603,248.19658914728686
435.0002618486504,125.92563498297982
438.2862577270553,138.40822634331906
437.2967489611345,129.65265216328527
553.3405111692506,104.17508553028779
519.4518093873162,114.81476173414548
523.4807197943468,118.8766066838046
727.9750262881186,85.68690851735015
739.0782523638685,111.29735898271926
741.8920388349458,114.92233009708737
744.5453373442233,119.41254834550925
364.4856017720893,222.59537287718433
364.11520737327163,217.15115207373273
370.62246309963086,236.85285977859778
376.9718637067627,231.20418172431596
365.81060015588497,246.21719927253832
339.1596330275228,221.47981651376148
491.9168252242484,133.52160913291655
487.08774128854367,222.26999247931812
487.2008524240798,215.4115610015983
539.9556135770224,247.93024990675121
515.9500739644967,240.04493343195264
504.73610555777645,243.59576169532187
515.7301519670499,247.72560715807413
505.2496395097328,238.03154289834174
408.98767650834577,196.05545571245187
447.9893707483001,148.0250850340136
450.5070858445993,140.30395829939732
446.34123456790275,143.51374485596708
442.4072572471145,156.54794242854246
445.98631616852714,152.7005761613252
454.3726768042465,163.84986724595703
373.06545568430926,247.7253366739743
